types,counts,total_unique,probs
Francisco,684,4256,0.00035187375345893446
Marcus,676,4256,0.0003477582709623387
Loren,673,4256,0.0003462149650261153
Troy,670,4256,0.00034467165908989194
Myron,662,4256,0.0003405561765932962
Edmund,659,4256,0.0003390128706570728
Jeff,658,4256,0.00033849843534499834
Bradford,657,4256,0.00033798400003292385
Frankie,653,4256,0.000335926258784626
Horace,646,4256,0.00033232521160010475
Rudy,646,4256,0.00033232521160010475
Delbert,641,4256,0.0003297530350397324
Clark,637,4256,0.00032769529379143457
Jan,625,4256,0.00032152207004654097
Geoffrey,624,4256,0.0003210076347344665
Denis,618,4256,0.0003179210228620197
Alton,613,4256,0.0003153488463016474
Sherman,610,4256,0.00031380554036542396
Malcolm,603,4256,0.0003102044931809027
Leland,602,4256,0.00030969005786882827
Hector,600,4256,0.00030866118724467935
Sylvester,600,4256,0.00030866118724467935
Wade,599,4256,0.00030814675193260486
Roosevelt,593,4256,0.0003050601400601581
Salvatore,592,4256,0.0003045457047480836
Stewart,591,4256,0.0003040312694360091
Wilbert,591,4256,0.0003040312694360091
Archie,590,4256,0.0003035168341239347
Tommie,582,4256,0.00029940135162733893
Darrel,581,4256,0.0002988869163152645
Ramon,576,4256,0.00029631473975489216
Monte,571,4256,0.0002937425631945198
Hubert,564,4256,0.00029014151600999856
Rodger,563,4256,0.0002896270806979241
Isaac,563,4256,0.0002896270806979241
Doyle,563,4256,0.0002896270806979241
Jacob,562,4256,0.00028911264538584964
Preston,557,4256,0.0002865404688254773
Oliver,556,4256,0.0002860260335134028
Jerald,555,4256,0.0002855115982013284
Kenny,554,4256,0.0002849971628892539
Grant,550,4256,0.00028293942164095605
Roderick,545,4256,0.0002803672450805837
Homer,543,4256,0.0002793383744564348
Pedro,541,4256,0.00027830950383228586
Felix,540,4256,0.0002777950685202114
Rocky,540,4256,0.0002777950685202114
Teddy,540,4256,0.0002777950685202114
Van,535,4256,0.00027522289195983904
Armando,530,4256,0.00027265071539946676
Julian,522,4256,0.000268535232902871
Forrest,518,4256,0.00026647749165457316
Willis,514,4256,0.00026441975040627526
Miguel,512,4256,0.00026339087978212634
Pete,504,4256,0.00025927539728553065
Mickey,502,4256,0.0002582465266613817
Angelo,498,4256,0.0002561887854130838
Ivan,495,4256,0.00025464547947686046
Lowell,488,4256,0.0002510444322923392
Julius,487,4256,0.0002505299969802647
Unknown,487,4256,0.0002505299969802647
Carroll,486,4256,0.0002500155616681902
Cary,462,4256,0.0002376691141784031
Rufus,457,4256,0.00023509693761803076
Mack,456,4256,0.0002345825023059563
Stephan,456,4256,0.0002345825023059563
Owen,455,4256,0.00023406806699388183
Lorenzo,448,4256,0.00023046701980936057
Terence,444,4256,0.0002284092785610627
Percy,442,4256,0.00022738040793691378
Grady,433,4256,0.00022275049012824357
Ervin,429,4256,0.00022069274887994572
Rene,429,4256,0.00022069274887994572
Andy,424,4256,0.00021812057231957338
Fernando,423,4256,0.00021760613700749892
Dallas,422,4256,0.00021709170169542446
Ellis,422,4256,0.00021709170169542446
Dewey,420,4256,0.00021606283107127554
Nick,420,4256,0.00021606283107127554
Arturo,418,4256,0.0002150339604471266
Andre,416,4256,0.00021400508982297766
Wilbur,413,4256,0.00021246178388675428
Dwayne,401,4256,0.00020628856014186068
Boyd,398,4256,0.00020474525420563727
Conrad,396,4256,0.00020371638358148835
Hal,392,4256,0.0002016586423331905
Irvin,391,4256,0.000201144207021116
Freddy,388,4256,0.00019960090108489263
Alfredo,386,4256,0.0001985720304607437
Bert,383,4256,0.0001970287245245203
Kyle,381,4256,0.00019599985390037137
Adrian,369,4256,0.00018982663015547777
Sheldon,368,4256,0.0001893121948434033
Rafael,366,4256,0.0001882833242192544
Travis,366,4256,0.0001882833242192544
Elbert,362,4256,0.00018622558297095652
Royce,361,4256,0.00018571114765888205
Wilson,357,4256,0.0001836534064105842
Sammie,355,4256,0.00018262453578643526
Woodrow,353,4256,0.00018159566516228633
Alfonso,352,4256,0.00018108122985021187
Derek,344,4256,0.00017696574735361615
Garland,342,4256,0.00017593687672946723
Alonzo,341,4256,0.00017542244141739274
Guadalupe,341,4256,0.00017542244141739274
Lionel,340,4256,0.00017490800610531828
Merle,340,4256,0.00017490800610531828
Spencer,340,4256,0.00017490800610531828
Carey,339,4256,0.00017439357079324382
Noel,338,4256,0.00017387913548116935
Cornelius,336,4256,0.00017285026485702043
Monty,332,4256,0.00017079252360872256
Louie,331,4256,0.0001702780882966481
Tracy,331,4256,0.0001702780882966481
Dominick,329,4256,0.00016924921767249917
Jeffry,329,4256,0.00016924921767249917
Pat,328,4256,0.0001687347823604247
Salvador,326,4256,0.00016770591173627576
Cleveland,325,4256,0.0001671914764242013
Gale,324,4256,0.00016667704111212684
Emmett,321,4256,0.00016513373517590345
Ken,321,4256,0.00016513373517590345
Lanny,321,4256,0.00016513373517590345
Christian,319,4256,0.0001641048645517545
Harlan,317,4256,0.00016307599392760558
Buddy,316,4256,0.00016256155861553112
Angel,312,4256,0.00016050381736723324
Aubrey,312,4256,0.00016050381736723324
Gerry,311,4256,0.00015998938205515878
Vance,309,4256,0.00015896051143100986
Miles,307,4256,0.00015793164080686093
Marlin,306,4256,0.00015741720549478644
Amos,306,4256,0.00015741720549478644
Galen,304,4256,0.00015638833487063752
Derrick,303,4256,0.00015587389955856306
Rodolfo,303,4256,0.00015587389955856306
Darwin,300,4256,0.00015433059362233967
Alberto,298,4256,0.00015330172299819072
Eldon,298,4256,0.00015330172299819072
Wilfred,298,4256,0.00015330172299819072
Edmond,297,4256,0.00015278728768611626
Dominic,295,4256,0.00015175841706196734
Adam,294,4256,0.00015124398174989288
Dewayne,290,4256,0.000149186240501595
Evan,289,4256,0.00014867180518952054
Norris,286,4256,0.00014712849925329716
Dannie,284,4256,0.0001460996286291482
Murray,283,4256,0.00014558519331707374
Barney,283,4256,0.00014558519331707374
Christophe,282,4256,0.00014507075800499928
Jerrold,281,4256,0.00014455632269292482
Marty,279,4256,0.0001435274520687759
Moses,279,4256,0.0001435274520687759
Ron,277,4256,0.00014249858144462695
Frederic,276,4256,0.00014198414613255248
